id;subject;content;post_date
1;a Wooden;../fake-data/blob/hipster.txt;2023-05-23
2;payment functionalities;../fake-data/blob/hipster.txt;2023-05-23
3;cXXXX;../fake-data/blob/hipster.txt;2023-05-23
4;index;../fake-data/blob/hipster.txt;2023-05-23
5;invoice;../fake-data/blob/hipster.txt;2023-05-24
6;sensor;../fake-data/blob/hipster.txt;2023-05-24
7;leverage bricks-and-clicks b;../fake-data/blob/hipster.txt;2023-05-23
8;solid plug-and-play;../fake-data/blob/hipster.txt;2023-05-24
9;Total Outdoors a;../fake-data/blob/hipster.txt;2023-05-23
10;supply-chains online b;../fake-data/blob/hipster.txt;2023-05-24
